be, was, been
have, had, had
do, did, done
say, said, said
go, went, gone
get, got, gotten
make, made, made
know, knew, known
think, thought, thought
take, took, taken
see, saw, seen
come, came, come
give, gave, given
use, used, used
find, found, found
tell, told, told
ask, asked, asked
work, worked, worked
feel, felt, felt
try, tried, tried
leave, left, left
pay, paid, paid
show, showed, shown
become, became, become
put, put, put
mean, meant, meant
keep, kept, kept
let, let, let
begin, began, begun
help, helped, helped
run, ran, run
hold, held, held
bring, brought, brought
write, wrote, written
sit, sat, sat
stand, stood, stood
lose, lost, lost
speak, spoke, spoken
read, read, read
